timestamps,pupil_size,pupil_x,pupil_y,message
2017-06-25 11:31:11.127,19.00735,845.5997,543.484,
2017-06-25 11:31:11.143,18.9406,845.5042,540.9857,
2017-06-25 11:31:11.160,18.99955,842.8134,536.0219,
2017-06-25 11:31:11.177,18.52515,841.5303,531.4681,
2017-06-25 11:31:11.193,19.173,841.908,529.8527,
2017-06-25 11:31:11.210,18.9334,839.7289,525.033,
2017-06-25 11:31:11.227,19.39155,838.7814,525.3847,
2017-06-25 11:31:11.243,18.91165,838.5072,522.6345,
2017-06-25 11:31:11.260,18.9755,839.0502,520.9331,
2017-06-25 11:31:11.277,18.99785,839.8821,520.1436,
2017-06-25 11:31:11.293,18.37105,839.5483,518.8693,
2017-06-25 11:31:11.310,18.97335,841.3837,518.2281,
2017-06-25 11:31:11.327,18.107,841.3326,514.2971,
2017-06-25 11:31:11.343,18.85895,841.4016,514.247,
2017-06-25 11:31:11.360,18.364,840.7938,509.9687,
2017-06-25 11:31:11.377,18.3073,839.0601,507.9811,
2017-06-25 11:31:11.393,18.4972,837.8636,506.718,
2017-06-25 11:31:11.410,18.34105,836.9557,503.6699,
2017-06-25 11:31:11.426,18.6714,838.7004,502.1119,
2017-06-25 11:31:11.443,18.81175,841.6823,500.3153,
2017-06-25 11:31:11.460,18.7575,845.932,497.4999,
2017-06-25 11:31:11.477,18.575,847.9298,493.6424,
2017-06-25 11:31:11.493,18.8101,850.838,494.4595,
2017-06-25 11:31:11.510,18.8601,852.3618,492.6198,
2017-06-25 11:31:11.527,18.74425,854.1664,490.9335,
2017-06-25 11:31:11.543,19.4893,856.9603,493.5746,
2017-06-25 11:31:11.560,19.1748,860.8349,496.2399,
2017-06-25 11:31:11.577,19.1638,863.9293,496.0722,
2017-06-25 11:31:11.593,18.74305,866.3167,494.9326,
2017-06-25 11:31:11.610,18.7761,867.8704,494.3239,
2017-06-25 11:31:11.626,18.6548,869.9985,492.1914,
2017-06-25 11:31:11.643,18.9001,874.4354,491.7621,
2017-06-25 11:31:11.659,18.98325,878.4687,495.3719,
2017-06-25 11:31:11.676,18.34215,881.0475,493.5834,
2017-06-25 11:31:11.693,18.6774,885.434,495.015,
2017-06-25 11:31:11.709,18.9085,886.4389,497.9981,
2017-06-25 11:31:11.726,19.1785,889.0395,497.3704,
2017-06-25 11:31:11.743,19.39205,890.9612,499.8705,
2017-06-25 11:31:11.759,18.8188,893.8969,502.3971,
2017-06-25 11:31:11.776,18.68985,897.0975,504.3835,
2017-06-25 11:31:11.793,18.73925,899.1312,505.3778,
2017-06-25 11:31:11.809,18.62685,901.2028,505.8152,
2017-06-25 11:31:11.826,19.08025,903.3672,506.9905,
2017-06-25 11:31:11.843,18.49935,904.8064,507.6685,
2017-06-25 11:31:11.859,18.55585,906.4175,509.163,
2017-06-25 11:31:11.876,18.1847,907.9178,507.3032,
2017-06-25 11:31:11.893,18.4013,911.4703,507.1057,
2017-06-25 11:31:11.909,18.5677,913.4788,507.9904,
2017-06-25 11:31:11.926,18.37255,915.3661,507.491,
2017-06-25 11:31:11.942,18.09665,915.9567,506.8652,
2017-06-25 11:31:11.959,18.6077,918.1183,507.629,
2017-06-25 11:31:11.976,18.48125,920.9389,508.5568,
2017-06-25 11:31:11.993,17.8431,923.1693,505.0072,
2017-06-25 11:31:12.009,18.76985,924.6739,504.417,
2017-06-25 11:31:12.026,18.43415,925.1236,504.21,
2017-06-25 11:31:12.042,18.05885,927.5593,505.9335,
2017-06-25 11:31:12.059,18.00825,930.3456,504.3013,
2017-06-25 11:31:12.076,18.2449,932.5221,505.0215,
2017-06-25 11:31:12.093,18.16155,933.8173,505.7992,
2017-06-25 11:31:12.109,18.1694,936.312,506.203,
2017-06-25 11:31:12.126,18.17885,939.2575,504.9811,
2017-06-25 11:31:12.142,18.16115,941.374,505.2835,
2017-06-25 11:31:12.159,18.21495,944.3448,506.5919,
2017-06-25 11:31:12.176,18.2633,945.615,509.636,
2017-06-25 11:31:12.192,18.2472,947.7717,508.3716,
2017-06-25 11:31:12.209,17.8472,949.1216,510.7939,
2017-06-25 11:31:12.226,18.14265,949.8513,510.4365,
2017-06-25 11:31:12.242,18.26065,949.1434,510.5783,
2017-06-25 11:31:12.259,17.5182,950.3274,511.7962,
2017-06-25 11:31:12.275,18.1064,951.4728,512.5788,
2017-06-25 11:31:12.292,18.00775,951.1887,512.3143,
2017-06-25 11:31:12.309,18.23055,951.9659,514.2764,
2017-06-25 11:31:12.325,18.41855,952.2903,518.3484,
2017-06-25 11:31:12.342,18.33225,953.6108,519.4658,
2017-06-25 11:31:12.359,18.4239,953.4613,519.0613,
2017-06-25 11:31:12.375,18.3107,954.4327,519.032,
2017-06-25 11:31:12.392,18.18635,954.314,521.0356,
2017-06-25 11:31:12.409,18.2939,953.7946,520.5472,
2017-06-25 11:31:12.425,18.1257,956.3158,521.8317,
2017-06-25 11:31:12.442,18.2329,957.7859,524.4159,
2017-06-25 11:31:12.459,18.23935,957.6556,522.7523,
2017-06-25 11:31:12.475,18.2407,958.1031,522.8053,
2017-06-25 11:31:12.492,18.02285,958.4101,521.8738,
2017-06-25 11:31:12.508,18.1479,958.3624,521.0803,
2017-06-25 11:31:12.525,18.0846,959.7004,519.1714,
2017-06-25 11:31:12.542,18.26525,960.0469,516.5201,
2017-06-25 11:31:12.558,18.11175,961.2198,515.1878,
2017-06-25 11:31:12.575,18.14555,960.9451,513.285,
2017-06-25 11:31:12.592,17.9605,960.8027,513.2673,
2017-06-25 11:31:12.608,18.18705,961.5194,511.7055,
2017-06-25 11:31:12.625,18.475,959.3716,514.7018,
2017-06-25 11:31:12.642,18.48775,957.3354,517.6735,
2017-06-25 11:31:12.658,18.505,957.3293,519.7995,
2017-06-25 11:31:12.675,18.5796,955.291,521.7988,
2017-06-25 11:31:12.692,18.5821,955.6663,521.3102,
2017-06-25 11:31:12.708,18.4779,956.5029,519.5464,
2017-06-25 11:31:12.725,18.74565,954.0886,521.3749,
2017-06-25 11:31:12.742,18.41365,954.388,520.1217,
2017-06-25 11:31:12.758,18.29015,953.9572,518.101,
2017-06-25 11:31:12.775,18.7914,953.694,517.8946,
2017-06-25 11:31:12.792,18.53145,952.5054,518.1671,
2017-06-25 11:31:12.808,18.6018,953.5698,518.6253,
2017-06-25 11:31:12.825,18.62315,952.2773,518.6763,
2017-06-25 11:31:12.842,18.9462,953.1206,518.6974,
2017-06-25 11:31:12.858,19.0278,953.1666,520.8596,
2017-06-25 11:31:12.875,19.38915,951.618,524.8884,
2017-06-25 11:31:12.892,19.07335,951.5073,524.8661,
2017-06-25 11:31:12.908,18.9432,951.3204,523.3702,
2017-06-25 11:31:12.925,19.306,951.014,527.2817,
2017-06-25 11:31:12.942,18.6884,952.0459,526.2146,
2017-06-25 11:31:12.958,18.5618,953.5952,528.0728,
2017-06-25 11:31:12.975,18.6933,953.1768,530.2264,
2017-06-25 11:31:12.992,18.66485,951.9855,530.835,
2017-06-25 11:31:13.008,18.7425,951.1406,530.3024,
2017-06-25 11:31:13.025,18.69755,948.5454,533.1937,
2017-06-25 11:31:13.041,18.63615,944.4872,536.3391,
2017-06-25 11:31:13.058,18.8111,941.7885,541.255,
2017-06-25 11:31:13.075,18.7512,938.3276,545.3005,
2017-06-25 11:31:13.091,18.6744,935.69,552.7326,
2017-06-25 11:31:13.109,18.3711,932.9238,554.1497,
2017-06-25 11:31:13.126,19.18285,928.8358,559.9758,
2017-06-25 11:31:13.143,18.56905,926.193,561.0745,
2017-06-25 11:31:13.159,18.6885,923.7765,563.7576,
2017-06-25 11:31:13.176,19.1755,921.2877,568.3915,
2017-06-25 11:31:13.192,19.306,918.8113,574.3706,
2017-06-25 11:31:13.209,19.01045,915.8055,578.5242,
2017-06-25 11:31:13.225,18.79135,914.3632,578.6166,
2017-06-25 11:31:13.242,18.7685,913.2712,581.9543,
2017-06-25 11:31:13.259,18.8114,909.3628,582.0127,
2017-06-25 11:31:13.275,19.24475,904.3868,585.0311,
2017-06-25 11:31:13.292,19.03525,899.8075,582.0936,
2017-06-25 11:31:13.309,19.24145,896.0078,583.208,
2017-06-25 11:31:13.326,19.17445,892.8389,584.7784,
2017-06-25 11:31:13.342,18.92785,888.9724,583.574,
2017-06-25 11:31:13.359,19.3275,885.1605,583.1165,
2017-06-25 11:31:13.375,18.56365,881.9225,581.8544,
2017-06-25 11:31:13.392,19.12035,877.2097,582.0826,
2017-06-25 11:31:13.409,18.5813,877.3653,580.9753,
2017-06-25 11:31:13.425,18.84165,875.3771,580.6415,
2017-06-25 11:31:13.442,18.85295,872.6334,580.1496,
2017-06-25 11:31:13.459,18.88095,871.3099,581.0021,
2017-06-25 11:31:13.475,18.59375,870.3324,580.0242,
2017-06-25 11:31:13.492,18.3314,867.7172,577.4731,
2017-06-25 11:31:13.509,18.21645,867.4453,573.3621,
2017-06-25 11:31:13.525,18.24745,865.1846,569.9199,
2017-06-25 11:31:13.542,18.12775,862.4953,567.0134,
2017-06-25 11:31:13.559,18.10665,863.6361,564.8802,
2017-06-25 11:31:13.575,18.4055,862.8209,562.2645,
2017-06-25 11:31:13.592,18.51825,862.438,565.6698,
2017-06-25 11:31:13.608,17.6174,861.7398,562.6361,
2017-06-25 11:31:13.625,17.84695,860.9163,561.558,
2017-06-25 11:31:13.642,18.0091,859.5217,560.3067,
2017-06-25 11:31:13.659,18.53965,858.1231,561.1636,
2017-06-25 11:31:13.675,18.00445,857.3868,558.0459,
2017-06-25 11:31:13.692,17.90375,858.7975,559.2474,
2017-06-25 11:31:13.708,18.0518,857.7834,558.3884,
2017-06-25 11:31:13.725,18.13925,856.6078,555.1464,
2017-06-25 11:31:13.742,18.36625,856.4221,554.0301,
2017-06-25 11:31:13.758,17.6461,854.6705,550.3745,
2017-06-25 11:31:13.775,17.54625,853.3842,545.3618,
2017-06-25 11:31:13.792,18.0409,852.8345,544.0898,
2017-06-25 11:31:13.808,17.97025,853.8417,543.0527,
2017-06-25 11:31:13.825,17.7049,852.2597,540.0306,
2017-06-25 11:31:13.842,18.3643,851.4106,538.9605,
2017-06-25 11:31:13.858,18.15145,851.3822,537.2959,
2017-06-25 11:31:13.875,17.98415,849.7072,534.4781,
2017-06-25 11:31:13.892,17.76615,848.0285,533.5615,
2017-06-25 11:31:13.908,17.8639,848.1977,530.1865,
2017-06-25 11:31:13.925,18.0799,848.0537,529.8123,
2017-06-25 11:31:13.942,17.5846,849.1988,528.3354,
2017-06-25 11:31:13.958,17.56945,849.2975,525.6523,
2017-06-25 11:31:13.975,17.83115,849.1128,526.3923,
2017-06-25 11:31:13.992,17.61235,850.4812,523.8746,
2017-06-25 11:31:14.008,17.4907,850.855,522.571,
2017-06-25 11:31:14.025,17.6589,850.8345,523.5549,
2017-06-25 11:31:14.041,17.67205,852.4154,522.7469,
2017-06-25 11:31:14.058,17.6727,850.6359,521.3019,
2017-06-25 11:31:14.075,17.93275,850.7355,523.1731,
2017-06-25 11:31:14.092,17.76965,849.5477,524.7842,
2017-06-25 11:31:14.108,17.6223,850.4122,525.2672,
2017-06-25 11:31:14.125,17.78215,848.3369,525.5545,
2017-06-25 11:31:14.141,17.7931,847.5598,526.9344,
2017-06-25 11:31:14.158,17.6302,848.3865,526.5586,
2017-06-25 11:31:14.175,17.2348,850.0191,523.6517,
2017-06-25 11:31:14.191,17.48665,850.7999,526.0912,
2017-06-25 11:31:14.208,17.50005,851.3981,524.792,
2017-06-25 11:31:14.224,17.35575,851.3467,524.4224,
2017-06-25 11:31:14.241,17.12755,852.8948,522.4626,
2017-06-25 11:31:14.258,17.78305,856.0984,526.3021,
2017-06-25 11:31:14.274,17.78475,857.4916,527.0814,
2017-06-25 11:31:14.291,17.3674,859.4238,527.4974,
2017-06-25 11:31:14.308,17.8442,860.4945,527.9718,
2017-06-25 11:31:14.325,17.1429,861.2899,529.1858,
2017-06-25 11:31:14.341,17.50905,863.2509,530.4053,
2017-06-25 11:31:14.358,17.1594,864.4205,528.3134,
2017-06-25 11:31:14.374,17.4284,866.0099,530.2131,
2017-06-25 11:31:14.391,17.20435,867.5988,529.0058,
2017-06-25 11:31:14.408,17.5104,868.2881,531.1251,
2017-06-25 11:31:14.424,17.5787,869.9662,532.5854,
2017-06-25 11:31:14.441,17.5662,874.273,536.6346,
2017-06-25 11:31:14.458,16.8226,975.5467,427.4113,
2017-06-25 11:31:14.474,17.3011,955.4164,536.46,
2017-06-25 11:31:14.491,17.17805,952.3352,514.055,
2017-06-25 11:31:14.508,17.04085,956.0146,517.1876,
2017-06-25 11:31:14.524,16.97885,955.9617,518.0914,
2017-06-25 11:31:14.541,17.062,958.8209,520.558,
2017-06-25 11:31:14.558,17.1003,953.1022,524.3351,
2017-06-25 11:31:14.574,17.0336,953.8211,520.9447,
2017-06-25 11:31:14.591,17.47525,955.7774,527.1644,
2017-06-25 11:31:14.608,17.0025,957.129,524.1011,
2017-06-25 11:31:14.624,17.02315,957.8843,526.5121,
2017-06-25 11:31:14.641,17.22375,959.4886,531.1734,
2017-06-25 11:31:14.657,17.2851,961.162,531.3392,
2017-06-25 11:31:14.674,17.0321,961.4486,530.3604,
2017-06-25 11:31:14.691,17.11,961.4048,527.3159,
2017-06-25 11:31:14.707,17.03225,963.6815,529.3865,
2017-06-25 11:31:14.724,16.5071,965.8699,524.6401,
2017-06-25 11:31:14.741,16.79445,965.4854,521.8594,
2017-06-25 11:31:14.757,16.69625,966.6104,519.7068,
2017-06-25 11:31:14.774,16.73355,965.8254,518.4176,
2017-06-25 11:31:14.791,16.99855,968.7382,517.7803,
2017-06-25 11:31:14.807,17.08845,971.0104,518.4975,
2017-06-25 11:31:14.824,16.42685,972.1023,513.8514,
2017-06-25 11:31:14.840,16.75895,973.3105,512.6479,
2017-06-25 11:31:14.857,16.7929,974.646,511.547,
2017-06-25 11:31:14.874,16.23855,976.0809,507.4604,
2017-06-25 11:31:14.890,16.59535,976.0031,505.5498,
2017-06-25 11:31:14.907,16.5644,975.9655,504.4203,
2017-06-25 11:31:14.924,16.51595,975.3022,503.3732,
2017-06-25 11:31:14.940,16.713,976.9687,503.9316,
2017-06-25 11:31:14.957,16.8372,978.835,505.0836,
2017-06-25 11:31:14.974,17.2369,980.105,505.5109,
2017-06-25 11:31:14.990,17.5838,980.1436,508.1591,
2017-06-25 11:31:15.007,16.8033,980.7133,507.6734,
2017-06-25 11:31:15.024,16.7673,980.6856,505.7614,
